Answers,Skill Level
"['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']",advanced
"['b', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']",advanced
"['a', 'b', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']",advanced
"['a', 'a', 'b', 'a', 'a', 'a', 'a', 'a', 'a', 'a']",advanced
"['a', 'a', 'a', 'b', 'a', 'a', 'a', 'a', 'a', 'a']",advanced
"['a', 'a', 'a', 'a', 'b', 'a', 'a', 'a', 'a', 'a']",advanced
"['a', 'a', 'a', 'a', 'a', 'b', 'a', 'a', 'a', 'a']",advanced
"['a', 'a', 'a', 'a', 'a', 'a', 'b', 'a', 'a', 'a']",advanced
"['a', 'a', 'a', 'a', 'a', 'a', 'a', 'b', 'a', 'a']",advanced
"['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'b', 'a']",advanced
"['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'b']",advanced
"['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']",advanced
"['c', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']",advanced
"['a', 'c', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']",advanced
"['a', 'a', 'c', 'a', 'a', 'a', 'a', 'a', 'a', 'a']",advanced
"['a', 'a', 'a', 'c', 'a', 'a', 'a', 'a', 'a', 'a']",advanced
"['a', 'a', 'a', 'a', 'c', 'a', 'a', 'a', 'a', 'a']",advanced
"['a', 'a', 'a', 'a', 'a', 'c', 'a', 'a', 'a', 'a']",advanced
"['a', 'a', 'a', 'a', 'a', 'a', 'c', 'a', 'a', 'a']",advanced
"['a', 'a', 'a', 'a', 'a', 'a', 'a', 'c', 'a', 'a']",advanced
"['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'c', 'a']",advanced
"['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'c']",advanced
"['b', 'b', 'b', 'b', 'b', 'b', 'b', 'b', 'b', 'b']",intermediate
"['a', 'b', 'b', 'b', 'b', 'b', 'b', 'b', 'b', 'b']",intermediate
"['b', 'a', 'b', 'b', 'b', 'b', 'b', 'b', 'b', 'b']",intermediate
"['b', 'b', 'a', 'b', 'b', 'b', 'b', 'b', 'b', 'b']",intermediate
"['b', 'b', 'b', 'a', 'b', 'b', 'b', 'b', 'b', 'b']",intermediate
"['b', 'b', 'b', 'b', 'a', 'b', 'b', 'b', 'b', 'b']",intermediate
"['b', 'b', 'b', 'b', 'b', 'a', 'b', 'b', 'b', 'b']",intermediate
"['b', 'b', 'b', 'b', 'b', 'b', 'a', 'b', 'b', 'b']",intermediate
"['b', 'b', 'b', 'b', 'b', 'b', 'b', 'a', 'b', 'b']",intermediate
"['b', 'b', 'b', 'b', 'b', 'b', 'b', 'b', 'a', 'b']",intermediate
"['b', 'b', 'b', 'b', 'b', 'b', 'b', 'b', 'b', 'a']",intermediate
"['b', 'b', 'b', 'b', 'b', 'b', 'b', 'b', 'b', 'b']",intermediate
"['c', 'b', 'b', 'b', 'b', 'b', 'b', 'b', 'b', 'b']",intermediate
"['b', 'c', 'b', 'b', 'b', 'b', 'b', 'b', 'b', 'b']",intermediate
"['b', 'b', 'c', 'b', 'b', 'b', 'b', 'b', 'b', 'b']",intermediate
"['b', 'b', 'b', 'c', 'b', 'b', 'b', 'b', 'b', 'b']",intermediate
"['b', 'b', 'b', 'b', 'c', 'b', 'b', 'b', 'b', 'b']",intermediate
"['b', 'b', 'b', 'b', 'b', 'c', 'b', 'b', 'b', 'b']",intermediate
"['b', 'b', 'b', 'b', 'b', 'b', 'c', 'b', 'b', 'b']",intermediate
"['b', 'b', 'b', 'b', 'b', 'b', 'b', 'c', 'b', 'b']",intermediate
"['b', 'b', 'b', 'b', 'b', 'b', 'b', 'b', 'c', 'b']",intermediate
"['b', 'b', 'b', 'b', 'b', 'b', 'b', 'b', 'b', 'c']",intermediate
"['c', 'c', 'c', 'c', 'c', 'c', 'c', 'c', 'c', 'c']",beginner
"['a', 'c', 'c', 'c', 'c', 'c', 'c', 'c', 'c', 'c']",beginner
"['c', 'a', 'c', 'c', 'c', 'c', 'c', 'c', 'c', 'c']",beginner
"['c', 'c', 'a', 'c', 'c', 'c', 'c', 'c', 'c', 'c']",beginner
"['c', 'c', 'c', 'a', 'c', 'c', 'c', 'c', 'c', 'c']",beginner
"['c', 'c', 'c', 'c', 'a', 'c', 'c', 'c', 'c', 'c']",beginner
"['c', 'c', 'c', 'c', 'c', 'a', 'c', 'c', 'c', 'c']",beginner
