YEAR,MO,DY,CLRSKY_SFC_SW_DWN
2022,1,1,7.43
2022,1,2,7.3
2022,1,3,7.38
2022,1,4,7.44
2022,1,5,7.29
2022,1,6,7.16
2022,1,7,7.25
2022,1,8,7.33
2022,1,9,7.19
2022,1,10,7.17
2022,1,11,6.96
2022,1,12,7.26
2022,1,13,7.16
2022,1,14,7.09
2022,1,15,6.94
2022,1,16,7.1
2022,1,17,7.27
2022,1,18,7.01
2022,1,19,7.23
2022,1,20,7.19
2022,1,21,7.4
2022,1,22,7.32
2022,1,23,7.3
2022,1,24,7.36
2022,1,25,7.36
2022,1,26,7.35
2022,1,27,7.23
2022,1,28,7.02
2022,1,29,6.88
2022,1,30,6.94
2022,1,31,7.01
2022,2,1,7.09
2022,2,2,7.19
2022,2,3,7.19
2022,2,4,7.23
2022,2,5,7.0
2022,2,6,7.21
2022,2,7,7.28
2022,2,8,7.54
2022,2,9,7.27
2022,2,10,7.52
2022,2,11,7.54
2022,2,12,7.36
2022,2,13,7.62
2022,2,14,7.61
2022,2,15,7.35
2022,2,16,7.26
2022,2,17,7.17
2022,2,18,7.08
2022,2,19,7.29
2022,2,20,7.25
2022,2,21,7.22
2022,2,22,7.32
2022,2,23,7.23
2022,2,24,7.23
2022,2,25,7.03
2022,2,26,7.23
2022,2,27,7.38
2022,2,28,7.35
2022,3,1,7.13
2022,3,2,7.06
2022,3,3,7.12
2022,3,4,7.19
2022,3,5,7.01
2022,3,6,7.26
2022,3,7,7.18
2022,3,8,7.03
2022,3,9,7.19
2022,3,10,7.01
2022,3,11,6.98
2022,3,12,7.17
2022,3,13,7.11
2022,3,14,7.03
2022,3,15,7.03
2022,3,16,7.06
2022,3,17,7.1
2022,3,18,6.9
2022,3,19,6.77
2022,3,20,7.01
2022,3,21,6.91
2022,3,22,7.14
2022,3,23,6.86
2022,3,24,7.1
2022,3,25,6.9
2022,3,26,6.68
2022,3,27,6.78
2022,3,28,6.86
2022,3,29,6.82
2022,3,30,6.63
2022,3,31,6.63
2022,4,1,6.34
2022,4,2,6.68
2022,4,3,6.63
2022,4,4,6.89
2022,4,5,6.89
2022,4,6,6.73
2022,4,7,6.62
2022,4,8,6.64
2022,4,9,6.65
2022,4,10,6.59
2022,4,11,6.59
2022,4,12,6.71
2022,4,13,6.54
2022,4,14,6.48
2022,4,15,6.56
2022,4,16,6.51
2022,4,17,6.5
2022,4,18,6.47
2022,4,19,6.11
2022,4,20,6.14
2022,4,21,6.13
2022,4,22,6.41
2022,4,23,6.48
2022,4,24,6.2
